date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,299.06,299.08,292.28,294.24,294.23999,1117205,1178300,-4.82,-1.61,294.03,"January 02, 20",-0.0161
2020-01-03,290.77,292.68,290.22,290.85,290.85,700601,700100,0.08,0.02751315,291.29,"January 03, 20",0.0002751315
2020-01-06,290.24,291.19,288.2009,290.82,290.82,1271039,1271000,0.58,0.19983,290.23,"January 06, 20",0.0019983
2020-01-07,290.57,291.84,287.99,290.09,290.089996,1035257,1034000,-0.48,-0.16519,290.13,"January 07, 20",-0.0016519
2020-01-08,288.88,294.19,287.81,292.66,292.66,1059043,1059000,3.78,1.31,291.47,"January 08, 20",0.0131
2020-01-09,293.99,296.57,292.36,294.3,294.299988,966484,966500,0.31,0.10545,294.65,"January 09, 20",0.0010545
2020-01-10,294.64,298.74,294.36,296.51,296.51,1164465,1164500,1.87,0.63467,296.56,"January 10, 20",0.0063467
2020-01-13,294.81,295.5,290.83,293.9,293.899994,1401120,1401100,-0.91,-0.30867,293.46,"January 13, 20",-0.0030867
2020-01-14,294.1,306.35,291.27,298.97,298.97,2112700,2112600,4.87,1.66,297.54,"January 14, 20",0.0166
2020-01-15,298.94,300.37,292.41,293.09,293.089996,1976036,1975600,-5.85,-1.96,295.8,"January 15, 20",-0.0196
2020-01-16,294.49,294.8,284.24,286.14,286.14,2800044,2800000,-8.35,-2.84,286.57,"January 16, 20",-0.0284
2020-01-17,287.32,288.0,284.9,285.5,285.5,1765147,1765000,-1.82,-0.63344,286.03,"January 17, 20",-0.0063344
2020-01-21,286.54,287.84,282.756,287.19,287.19,2253524,2253100,0.65,0.22684,285.83,"January 21, 20",0.0022684
2020-01-22,288.17,290.845,287.6,288.1,288.1,1571001,1571000,-0.07,-0.02429122,289.07,"January 22, 20",-0.0002429122
2020-01-23,287.23,288.08,281.21,284.21,284.209991,1936176,1936100,-3.02,-1.05,283.88,"January 23, 20",-0.0105
2020-01-24,284.21,284.99,277.32,278.14,278.14,1260633,1260200,-6.07,-2.14,280.3,"January 24, 20",-0.0214
2020-01-27,278.14,282.335,276.235,281.14,281.14,1405659,1405500,3.0,1.08,280.09,"January 27, 20",0.0108
2020-01-28,283.96,284.285,280.72,281.95,281.95,1121569,1136500,-2.01,-0.70785,282.15,"January 28, 20",-0.0070785
2020-01-29,282.05,283.38,279.66,282.52,282.519989,1167396,1166200,0.47,0.16664,281.87,"January 29, 20",0.0016664
2020-01-30,288.12,288.12,276.14,277.53,277.529999,1601196,1601000,-10.59,-3.68,279.3,"January 30, 20",-0.0368
2020-01-31,276.08,276.28,267.59,268.85,268.85,1701673,1701700,-7.23,-2.62,269.55,"January 31, 20",-0.0262
2020-02-03,270.61,275.3,269.76,272.73,272.73,1257840,1257800,2.12,0.78342,272.78,"February 03, 20",0.0078342
2020-02-04,276.4,285.6,275.94,283.29,283.29,1684515,1684400,6.89,2.49,282.13,"February 04, 20",0.0249
2020-02-05,285.63,374.99,279.175,332.87,332.869995,10159156,10159200,47.24,16.54,334.64,"February 05, 20",0.1654
2020-02-06,338.39,348.66,333.5,337.24,337.23999,3613625,3613600,-1.15,-0.33984,339.4,"February 06, 20",-0.0033984
2020-02-07,335.39,340.32,331.66,338.7,338.7,2207973,2209400,3.31,0.98691,336.42,"February 07, 20",0.0098691
2020-02-10,332.0,339.56,330.24,338.93,338.929993,1867026,1867000,6.93,2.09,336.86,"February 10, 20",0.0209
2020-02-11,338.06,340.05,329.72,332.29,332.29,1805994,1806200,-5.77,-1.71,333.11,"February 11, 20",-0.0171
2020-02-12,331.66,334.71,329.04,331.76,331.76,1603271,1603000,0.1,0.03015136,331.61,"February 12, 20",0.0003015136
2020-02-13,329.2,338.875,329.0,334.25,334.25,1307289,1307300,5.05,1.53,335.16,"February 13, 20",0.0153
2020-02-14,334.0,335.4,331.83,333.0,333.0,1023247,1023200,-1.0,-0.2994,333.74,"February 14, 20",-0.002994
2020-02-18,343.66,344.0,334.09,337.1,337.1,1515642,1515100,-6.56,-1.91,337.46,"February 18, 20",-0.0191
2020-02-19,338.0,341.77,335.42,341.04,341.04,1483396,1488400,3.04,0.89941,339.91,"February 19, 20",0.0089941
2020-02-20,342.18,343.0,332.5,336.64,336.64,1497864,1497800,-5.54,-1.62,336.59,"February 20, 20",-0.0162
2020-02-21,336.97,337.82,334.6,336.71,336.709991,923304,923200,-0.26,-0.0771582,336.46,"February 21, 20",-0.000771582
2020-02-24,331.5,336.0,325.42,325.98,325.98,1732708,1732500,-5.52,-1.67,329.46,"February 24, 20",-0.0167
2020-02-25,327.2,330.61,322.7,324.11,324.109985,1831162,1831100,-3.09,-0.94438,325.83,"February 25, 20",-0.0094438
2020-02-26,326.98,330.93,323.61,327.45,327.45,1411869,1411300,0.47,0.14374,327.56,"February 26, 20",0.0014374
2020-02-27,324.72,325.55,309.63,310.08,310.079987,2221502,2221100,-14.64,-4.51,316.56,"February 27, 20",-0.0451
2020-02-28,300.23,310.54,299.001,308.39,308.39,2396721,2396200,8.16,2.72,306.11,"February 28, 20",0.0272
2020-03-02,308.64,328.23,307.83,327.89,327.89,2364903,2364600,19.25,6.24,320.24,"March 02, 20",0.0624
2020-03-03,320.28,333.0,311.87,315.78,315.779999,2036116,2036100,-4.5,-1.41,319.99,"March 03, 20",-0.0141
2020-03-04,319.29,328.45,316.41,328.45,328.45,1752361,1752300,9.16,2.87,324.25,"March 04, 20",0.0287
2020-03-05,319.73,326.45,315.0,317.7,317.7,1470424,1470400,-2.03,-0.63491,319.76,"March 05, 20",-0.0063491
2020-03-06,308.27,319.18,306.17,317.95,317.95,1513179,1513000,9.68,3.14,313.46,"March 06, 20",0.0314
2020-03-09,301.0,306.97,293.7604,297.19,297.19,2149461,2149500,-3.81,-1.27,299.68,"March 09, 20",-0.0127
2020-03-10,304.49,308.775,289.585,305.63,305.63,2378951,2378600,1.14,0.3744,300.56,"March 10, 20",0.003744
2020-03-11,295.99,303.36,291.96,294.25,294.25,1879300,1878900,-1.74,-0.58786,296.39,"March 11, 20",-0.0058786
2020-03-12,280.0,285.42,266.01,268.88,268.88,2901039,2901000,-11.12,-3.97,273.64,"March 12, 20",-0.0397
2020-03-13,279.14,306.0,276.24,305.21,305.209991,3641090,3641100,26.07,9.34,292.51,"March 13, 20",0.0934
2020-03-16,281.86,309.35,273.59,281.72,281.72,3862648,3862600,-0.14,-0.04967005,290.16,"March 16, 20",-0.0004967005
2020-03-17,285.33,314.65,284.135,305.32,305.32,2626160,2625900,19.99,7.01,304.14,"March 17, 20",0.0701
2020-03-18,293.71,306.74,277.51,298.68,298.679993,2767265,2767300,4.97,1.69,291.69,"March 18, 20",0.0169
2020-03-19,293.15,297.48,283.28,288.02,288.019989,2470019,2470000,-5.13,-1.75,290.33,"March 19, 20",-0.0175
2020-03-20,288.02,301.88,277.81,278.77,278.769989,2730104,2730000,-9.25,-3.21,285.24,"March 20, 20",-0.0321
2020-03-23,283.35,288.055,262.25,269.19,269.19,2695449,2695400,-14.16,-5.0,272.42,"March 23, 20",-0.05
2020-03-24,278.89,283.26,269.98,276.19,276.19,3464065,3464100,-2.7,-0.96812,276.57,"March 24, 20",-0.0096812
2020-03-25,274.73,300.84,268.13,284.98,284.98,2678911,2678900,10.25,3.73,287.34,"March 25, 20",0.0373
2020-03-26,284.74,306.77,284.505,304.94,304.94,2270494,2270100,20.2,7.09,301.03,"March 26, 20",0.0709
2020-03-27,297.0,307.14,294.25,296.75,296.75,1653113,1653100,-0.25,-0.08417508,300.41,"March 27, 20",-0.0008417508
2020-03-30,300.0,321.41,298.08,316.13,316.13,1747331,1747300,16.13,5.38,313.48,"March 30, 20",0.0538
2020-03-31,313.48,319.94,309.2,316.38,316.38,2869284,2869100,2.9,0.9251,314.98,"March 31, 20",0.009251
2020-04-01,308.81,313.462,290.35,293.27,293.269989,2177809,2177500,-15.54,-5.03,298.82,"April 01, 20",-0.0503
2020-04-02,290.1,307.15,290.0,304.47,304.47,3286691,3286600,14.37,4.95,301.61,"April 02, 20",0.0495
2020-04-03,303.7,311.525,296.805,300.51,300.51,1422849,1422800,-3.19,-1.05,300.94,"April 03, 20",-0.0105
2020-04-06,308.49,314.14,300.6,311.39,311.39,3181488,3181100,2.9,0.94006,309.26,"April 06, 20",0.0094006
2020-04-07,314.94,319.6,299.61,301.21,301.209991,2457796,2457700,-13.73,-4.36,307.94,"April 07, 20",-0.0436
2020-04-08,305.25,319.39,301.01,316.95,316.95,1932343,1932300,11.7,3.83,311.44,"April 08, 20",0.0383
2020-04-09,315.1,322.45,314.23,321.05,321.049988,1480276,1479600,5.95,1.89,319.13,"April 09, 20",0.0189
2020-04-13,318.01,325.11,316.79,322.94,322.94,2083845,2083700,4.93,1.55,322.38,"April 13, 20",0.0155
2020-04-14,329.0,336.5,328.34,333.76,333.76,1675523,1675500,4.76,1.45,333.03,"April 14, 20",0.0145
2020-04-15,329.45,333.2,322.86,326.94,326.94,1426443,1426400,-2.51,-0.76188,327.81,"April 15, 20",-0.0076188
2020-04-16,331.15,340.38,328.17,338.34,338.339996,1602933,1602600,7.19,2.17,336.44,"April 16, 20",0.0217
2020-04-17,345.97,346.05,335.285,342.55,342.549988,1701841,1701800,-3.42,-0.98853,340.1,"April 17, 20",-0.0098853
2020-04-20,338.64,350.24,337.28,339.41,339.41,1621055,1620700,0.77,0.22738,343.31,"April 20, 20",0.0022738
2020-04-21,332.51,336.19,328.37,329.01,329.01,1521845,1521800,-3.5,-1.05,332.07,"April 21, 20",-0.0105
2020-04-22,302.75,306.99,289.02,298.01,298.01,6652438,6650100,-4.74,-1.57,297.52,"April 22, 20",-0.0157
2020-04-23,293.61,297.4401,291.57,292.25,292.25,2911339,2911100,-1.36,-0.4632,294.16,"April 23, 20",-0.004632
2020-04-24,293.06,297.94,290.1,297.8,297.799988,1778825,1778800,4.74,1.62,295.11,"April 24, 20",0.0162
2020-04-27,300.58,305.0,299.74,303.24,303.23999,1611360,1611400,2.66,0.88496,302.85,"April 27, 20",0.0088496
2020-04-28,305.02,312.8299,303.003,305.22,305.22,1862951,1862600,0.2,0.06556947,307.11,"April 28, 20",0.0006556947
2020-04-29,308.84,313.34,304.625,304.71,304.709991,2100135,2100100,-4.13,-1.34,307.82,"April 29, 20",-0.0134
2020-04-30,299.0,305.05,296.14,296.83,296.829987,2291096,2291100,-2.17,-0.72575,299.84,"April 30, 20",-0.0072575
2020-05-01,295.07,297.915,291.8803,293.09,293.089996,1538658,1538700,-1.98,-0.67103,294.55,"May 01, 20",-0.0067103
2020-05-04,294.06,297.9,293.02,296.52,296.519989,1253109,1253100,2.46,0.83656,295.11,"May 04, 20",0.0083656
2020-05-05,297.14,306.5,297.08,304.44,304.44,1348474,1348400,7.3,2.46,302.82,"May 05, 20",0.0246
2020-05-06,305.05,312.6564,304.975,306.78,306.779999,1255482,1255500,1.73,0.56712,308.93,"May 06, 20",0.0056712
2020-05-07,308.71,317.55,308.51,314.01,314.01,1764508,1764300,5.3,1.72,314.15,"May 07, 20",0.0172
2020-05-08,315.49,317.7,311.37,314.02,314.019989,1126321,1126200,-1.47,-0.46594,314.31,"May 08, 20",-0.0046594
2020-05-11,313.41,330.13,313.0,328.01,328.01,1513685,1513500,14.6,4.66,325.79,"May 11, 20",0.0466
2020-05-12,329.91,335.0,318.89,319.77,319.769989,1882440,1882100,-10.14,-3.07,326.21,"May 12, 20",-0.0307
2020-05-13,320.9,327.2,312.66,314.96,314.959991,1795946,1795900,-5.94,-1.85,317.58,"May 13, 20",-0.0185
2020-05-14,311.15,317.78,311.15,315.82,315.82,1167110,1167100,4.67,1.5,314.84,"May 14, 20",0.015
2020-05-15,313.49,317.21,311.0,316.6,316.6,813737,820900,3.11,0.99206,314.89,"May 15, 20",0.0099206
2020-05-18,324.0,324.0,315.285,315.9,315.899994,1022392,1022400,-8.1,-2.5,318.16,"May 18, 20",-0.025
