date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2020-01-02,37.08,37.33,36.65,37.23,32.41,4190300,4190300,0.15,0.40453,37.0725,"January 02, 20",0.0040453
2020-01-03,36.67,36.82,36.03,36.57,31.84,4101300,4101300,-0.1,-0.2727,36.5225,"January 03, 20",-0.002727
2020-01-06,36.24,36.3,35.75,36.0,31.34,4136337,4136337,-0.24,-0.66225,36.0725,"January 06, 20",-0.0066225
2020-01-07,35.87,36.1,35.65,35.93,31.28,3108899,3108899,0.06,0.16727,35.8875,"January 07, 20",0.0016727
2020-01-08,36.11,36.63,35.93,36.2,31.51,3795986,3795986,0.09,0.24924,36.2175,"January 08, 20",0.0024924
2020-01-09,36.19,36.41,35.84,36.22,31.53,3811406,3811406,0.03,0.08289583,36.165,"January 09, 20",0.0008289583
2020-01-10,36.22,36.57,35.9,36.33,31.63,3542436,3542436,0.11,0.3037,36.255,"January 10, 20",0.003037
2020-01-13,36.6,36.65,36.35,36.59,31.85,3167600,3167600,-0.01,-0.0273224,36.5475,"January 13, 20",-0.000273224
2020-01-14,36.64,37.17,36.47,36.82,32.05,5495631,5495631,0.18,0.49127,36.775,"January 14, 20",0.0049127
2020-01-15,36.67,36.98,36.45,36.79,32.03,4365800,4365800,0.12,0.32724,36.7225,"January 15, 20",0.0032724
2020-01-16,36.9,37.34,36.8,37.31,32.48,5958631,5958631,0.41,1.11,37.0875,"January 16, 20",0.0111
2020-01-17,36.37,37.6,36.21,36.8,32.04,12851800,12851800,0.43,1.18,36.745,"January 17, 20",0.0118
2020-01-21,36.43,36.64,35.45,35.83,31.19,6476900,6476900,-0.6,-1.65,36.0875,"January 21, 20",-0.0165
2020-01-22,36.18,36.3,35.87,35.93,31.28,3501610,3501610,-0.25,-0.69099,36.07,"January 22, 20",-0.0069099
2020-01-23,35.86,36.12,35.29,36.06,31.39,3133640,3133640,0.2,0.55772,35.8325,"January 23, 20",0.0055772
2020-01-24,36.12,36.17,35.03,35.52,30.92,4163942,4163942,-0.6,-1.66,35.71,"January 24, 20",-0.0166
2020-01-27,34.94,35.55,34.63,35.25,30.69,6163034,6163034,0.31,0.88724,35.0925,"January 27, 20",0.0088724
2020-01-28,35.39,35.9,35.07,35.77,31.14,3723700,3723700,0.38,1.07,35.5325,"January 28, 20",0.0107
2020-01-29,35.99,36.54,35.83,35.9,31.25,3883847,3883847,-0.09,-0.25007,36.065,"January 29, 20",-0.0025007
2020-01-30,34.73,36.18,34.73,36.14,31.68,4365633,4365633,1.41,4.06,35.445,"January 30, 20",0.0406
2020-01-31,35.83,35.99,34.73,34.88,30.58,4707300,4707300,-0.95,-2.65,35.3575,"January 31, 20",-0.0265
2020-02-03,35.21,36.06,35.03,35.85,31.43,4708912,4708912,0.645,1.82,35.5375,"February 03, 20",0.0182
2020-02-04,36.5,37.24,36.26,36.93,32.38,3614900,3614900,0.43,1.18,36.7325,"February 04, 20",0.0118
2020-02-05,37.55,37.67,37.17,37.65,33.01,4071300,4071300,0.1,0.26631,37.51,"February 05, 20",0.0026631
2020-02-06,38.0,38.24,37.55,37.9,33.23,3126403,3126403,-0.1,-0.26316,37.9225,"February 06, 20",-0.0026316
2020-02-07,37.66,37.95,37.12,37.35,32.74,3342722,3342722,-0.31,-0.82315,37.52,"February 07, 20",-0.0082315
2020-02-10,37.16,37.27,36.69,36.94,32.38,4827845,4827845,-0.22,-0.59203,37.015,"February 10, 20",-0.0059203
2020-02-11,37.1,37.95,37.09,37.82,33.16,4432232,4432232,0.72,1.94,37.49,"February 11, 20",0.0194
2020-02-12,37.9,38.4,37.9,38.34,33.61,2477500,2477500,0.44,1.16,38.135,"February 12, 20",0.0116
2020-02-13,38.15,38.47,37.99,38.24,33.52,2270819,2270819,0.09,0.23591,38.2125,"February 13, 20",0.0023591
2020-02-14,38.23,38.57,38.01,38.32,33.59,2745900,2745900,0.09,0.23542,38.2825,"February 14, 20",0.0023542
2020-02-18,38.28,38.44,37.88,38.29,33.57,2288047,2288047,0.01,0.0261233,38.2225,"February 18, 20",0.000261233
2020-02-19,38.37,38.66,38.19,38.29,33.57,1706045,1706045,-0.08,-0.2085,38.3775,"February 19, 20",-0.002085
2020-02-20,38.41,39.31,38.29,39.02,34.21,3301448,3301448,0.61,1.59,38.7575,"February 20, 20",0.0159
2020-02-21,38.84,39.18,38.45,38.86,34.07,4124100,4124100,0.02,0.05149331,38.8325,"February 21, 20",0.0005149331
2020-02-24,38.05,38.39,37.24,37.76,33.1,3934900,3934900,-0.29,-0.76216,37.86,"February 24, 20",-0.0076216
2020-02-25,37.98,38.18,35.97,36.16,31.7,5998205,5998205,-1.82,-4.79,37.0725,"February 25, 20",-0.0479
2020-02-26,36.67,36.83,35.89,35.96,31.53,4487946,4487946,-0.71,-1.94,36.3375,"February 26, 20",-0.0194
2020-02-27,35.37,36.45,34.76,35.02,30.7,8835246,8835246,-0.35,-0.98954,35.4,"February 27, 20",-0.0098954
2020-02-28,33.81,34.84,33.49,34.22,30.0,8622900,8622900,0.41,1.21,34.09,"February 28, 20",0.0121
2020-03-02,34.33,35.19,33.31,35.18,30.84,7077862,7077862,0.85,2.48,34.5025,"March 02, 20",0.0248
2020-03-03,34.84,36.39,34.18,34.39,30.15,6747302,6747302,-0.45,-1.29,34.95,"March 03, 20",-0.0129
2020-03-04,34.98,35.59,34.34,35.53,31.15,4983813,4983813,0.555,1.57,35.11,"March 04, 20",0.0157
2020-03-05,34.55,36.05,34.48,34.84,30.54,8820390,8820390,0.29,0.83936,34.98,"March 05, 20",0.0083936
2020-03-06,33.5,34.29,33.32,34.16,29.95,7757543,7757543,0.66,1.97,33.8175,"March 06, 20",0.0197
2020-03-09,31.87,32.84,30.61,31.19,27.34,12393027,12393027,-0.68,-2.13,31.6275,"March 09, 20",-0.0213
2020-03-10,32.22,33.62,31.3,33.6,29.46,7310564,7310564,1.38,4.28,32.685,"March 10, 20",0.0428
2020-03-11,32.47,33.67,32.32,32.93,28.87,10915900,10915900,0.46,1.42,32.8475,"March 11, 20",0.0142
2020-03-12,30.54,32.84,29.79,30.87,27.06,9929308,9929308,0.33,1.08,31.01,"March 12, 20",0.0108
2020-03-13,32.8,34.15,31.21,34.09,29.89,9208800,9208800,1.29,3.93,33.0625,"March 13, 20",0.0393
2020-03-16,30.51,33.98,30.0,31.72,27.81,9546481,9546481,1.21,3.97,31.5525,"March 16, 20",0.0397
2020-03-17,32.38,35.13,32.03,34.51,30.25,8386559,8386559,2.13,6.58,33.5125,"March 17, 20",0.0658
2020-03-18,32.74,34.8,31.39,33.45,29.32,10310247,10310247,0.71,2.17,33.095,"March 18, 20",0.0217
2020-03-19,33.41,35.46,32.0,32.3,28.32,9348359,9348359,-1.11,-3.32,33.2925,"March 19, 20",-0.0332
2020-03-20,32.36,32.38,28.47,28.74,25.2,9568549,9568549,-3.62,-11.19,30.4875,"March 20, 20",-0.1119
2020-03-23,30.0,30.0,26.72,28.18,24.7,6272293,6272293,-1.82,-6.07,28.725,"March 23, 20",-0.0607
2020-03-24,29.03,31.48,29.03,31.37,27.5,7600400,7600400,2.34,8.06,30.2275,"March 24, 20",0.0806
2020-03-25,30.77,31.8,29.81,30.23,26.5,7079100,7079100,-0.54,-1.75,30.6525,"March 25, 20",-0.0175
2020-03-26,30.32,32.55,29.46,32.31,28.33,7147000,7147000,1.99,6.56,31.16,"March 26, 20",0.0656
2020-03-27,31.17,31.8,30.19,31.04,27.21,6463515,6463515,-0.13,-0.41707,31.05,"March 27, 20",-0.0041707
2020-03-30,31.08,32.23,30.8,31.8,27.88,5540700,5540700,0.72,2.32,31.4775,"March 30, 20",0.0232
2020-03-31,31.45,32.28,30.96,31.25,27.4,7565980,7565980,-0.2,-0.63593,31.485,"March 31, 20",-0.0063593
2020-04-01,30.17,31.0,29.92,30.61,26.84,4805411,4805411,0.44,1.46,30.425,"April 01, 20",0.0146
2020-04-02,30.73,31.31,30.17,30.65,26.87,7237540,7237540,-0.08,-0.26033,30.715,"April 02, 20",-0.0026033
2020-04-03,30.5,31.34,30.01,30.48,26.72,4624725,4624725,-0.02,-0.06557377,30.5825,"April 03, 20",-0.0006557377
2020-04-06,31.44,32.31,31.13,32.18,28.21,6151900,6151900,0.74,2.35,31.765,"April 06, 20",0.0235
2020-04-07,32.04,33.65,31.93,32.01,28.06,6400300,6400300,-0.03,-0.09363296,32.4075,"April 07, 20",-0.0009363296
2020-04-08,32.42,32.67,31.64,32.49,28.48,4478500,4478500,0.07,0.21592,32.305,"April 08, 20",0.0021592
2020-04-09,32.74,33.71,32.55,33.62,29.47,6021537,6021537,0.88,2.69,33.155,"April 09, 20",0.0269
2020-04-13,32.61,33.42,31.87,32.27,28.29,5085400,5085400,-0.34,-1.04,32.5425,"April 13, 20",-0.0104
2020-04-14,34.43,35.17,32.82,34.54,30.28,7107587,7107587,0.11,0.31949,34.24,"April 14, 20",0.0031949
2020-04-15,34.15,34.81,33.72,34.56,30.3,4962937,4962937,0.41,1.2,34.31,"April 15, 20",0.012
2020-04-16,34.78,35.52,34.17,35.43,31.06,6097000,6097000,0.65,1.87,34.975,"April 16, 20",0.0187
2020-04-17,36.31,36.92,35.39,35.93,31.5,5018648,5018648,-0.3808,-1.05,36.1375,"April 17, 20",-0.0105
2020-04-20,35.55,35.92,34.89,34.92,30.61,3786320,3786320,-0.63,-1.77,35.32,"April 20, 20",-0.0177
2020-04-21,34.49,34.82,33.96,34.14,29.93,4809711,4809711,-0.35,-1.01,34.3525,"April 21, 20",-0.0101
2020-04-22,34.75,35.06,34.4,34.84,30.54,3479600,3479600,0.09,0.25899,34.7625,"April 22, 20",0.0025899
2020-04-23,34.77,35.56,34.68,34.92,30.61,3958200,3958200,0.15,0.43141,34.9825,"April 23, 20",0.0043141
2020-04-24,35.15,36.14,34.84,36.03,31.59,3448527,3448527,0.88,2.5,35.54,"April 24, 20",0.025
2020-04-27,36.11,37.08,36.09,36.85,32.53,3874009,3874009,0.735,2.05,36.5325,"April 27, 20",0.0205
2020-04-28,37.28,37.97,36.81,36.96,32.63,4371013,4371013,-0.32,-0.85837,37.255,"April 28, 20",-0.0085837
2020-04-29,37.0,37.54,36.45,36.74,32.43,4362500,4362500,-0.26,-0.7027,36.9325,"April 29, 20",-0.007027
2020-04-30,36.47,36.79,35.88,36.22,31.98,5533300,5533300,-0.25,-0.68549,36.34,"April 30, 20",-0.0068549
2020-05-01,35.79,36.05,35.37,35.7,31.52,3423257,3423257,-0.09,-0.25147,35.7275,"May 01, 20",-0.0025147
2020-05-04,35.53,35.88,35.17,35.85,31.65,2930200,2930200,0.32,0.90065,35.6075,"May 04, 20",0.0090065
2020-05-05,36.27,37.16,36.08,36.63,32.34,4045000,4045000,0.36,0.99256,36.535,"May 05, 20",0.0099256
2020-05-06,37.21,38.05,37.02,37.85,33.41,5307837,5307837,0.64,1.72,37.5325,"May 06, 20",0.0172
2020-05-07,38.13,38.61,37.74,38.18,33.71,4392200,4392200,0.05,0.13113,38.165,"May 07, 20",0.0013113
2020-05-08,38.43,39.11,38.43,39.05,34.47,3231128,3231128,0.62,1.61,38.755,"May 08, 20",0.0161
2020-05-11,38.47,39.88,38.47,39.74,35.08,3418044,3418044,1.27,3.3,39.14,"May 11, 20",0.033
2020-05-12,39.8,39.96,38.82,38.82,34.27,3842980,3842980,-0.98,-2.46,39.35,"May 12, 20",-0.0246
2020-05-13,38.71,39.24,37.79,38.34,33.85,4332617,4332617,-0.37,-0.95583,38.52,"May 13, 20",-0.0095583
2020-05-14,38.1,38.74,37.72,38.68,34.15,4612400,4612400,0.58,1.52,38.31,"May 14, 20",0.0152
2020-05-15,38.3,39.12,38.05,38.92,34.36,5147300,5147300,0.62,1.62,38.5975,"May 15, 20",0.0162
2020-05-18,40.0,40.46,38.94,39.07,34.49,6948600,6948600,-0.93,-2.32,39.6175,"May 18, 20",-0.0232
2020-05-19,39.0,39.34,38.55,38.56,34.04,4261134,4261134,-0.44,-1.13,38.8625,"May 19, 20",-0.0113
2020-05-20,39.05,39.58,38.83,39.09,34.51,3205113,3205113,0.04,0.10243,39.1375,"May 20, 20",0.0010243
2020-05-21,39.17,39.17,38.52,38.71,34.17,3017500,3017500,-0.46,-1.17,38.8925,"May 21, 20",-0.0117
2020-05-22,38.62,38.92,38.5,38.68,34.15,1967000,1967000,0.06,0.15536,38.68,"May 22, 20",0.0015536
2020-05-26,39.07,40.21,38.88,39.72,35.06,6224029,6224029,0.65,1.66,39.47,"May 26, 20",0.0166
2020-05-27,39.93,40.56,39.33,40.54,35.79,5329700,5329700,0.61,1.53,40.09,"May 27, 20",0.0153
2020-05-28,40.68,40.92,40.15,40.38,35.65,3704100,3704100,-0.3,-0.73746,40.5325,"May 28, 20",-0.0073746
2020-05-29,40.39,41.45,40.34,41.26,36.42,5958662,5958662,0.87,2.15,40.86,"May 29, 20",0.0215
2020-06-01,41.38,41.38,40.53,40.66,35.89,2783019,2783019,-0.72,-1.74,40.9875,"June 01, 20",-0.0174
2020-06-02,40.97,41.22,40.65,41.19,36.36,3863600,3863600,0.22,0.53698,41.0075,"June 02, 20",0.0053698
2020-06-03,41.48,42.27,41.07,42.06,37.13,3760945,3760945,0.58,1.4,41.72,"June 03, 20",0.014
2020-06-04,41.92,42.71,41.33,41.7,36.81,4377500,4377500,-0.22,-0.52481,41.915,"June 04, 20",-0.0052481
2020-06-05,42.06,42.89,41.78,42.66,37.66,6166500,6166500,0.6,1.43,42.3475,"June 05, 20",0.0143
2020-06-08,42.38,43.19,42.15,42.88,37.85,4388132,4388132,0.5,1.18,42.65,"June 08, 20",0.0118
2020-06-09,42.31,43.12,42.22,42.86,37.84,3280384,3280384,0.55,1.3,42.6275,"June 09, 20",0.013
2020-06-10,43.0,43.2,42.34,42.49,37.51,3439505,3439505,-0.51,-1.19,42.7575,"June 10, 20",-0.0119
2020-06-11,42.03,42.09,40.59,40.64,35.88,3806295,3806295,-1.39,-3.31,41.3375,"June 11, 20",-0.0331
2020-06-12,41.48,41.48,39.35,40.06,35.37,4193494,4193494,-1.42,-3.42,40.5925,"June 12, 20",-0.0342
2020-06-15,39.64,40.73,39.15,40.71,35.94,4988330,4988330,1.07,2.7,40.0575,"June 15, 20",0.027
2020-06-16,41.8,42.09,40.91,41.81,36.91,4674116,4674116,0.01,0.02392344,41.6525,"June 16, 20",0.0002392344
2020-06-17,42.04,42.37,41.7,42.06,37.13,3116600,3116600,0.02,0.04757374,42.0425,"June 17, 20",0.0004757374
2020-06-18,41.88,42.29,41.61,41.99,37.07,3085745,3085745,0.11,0.26266,41.9425,"June 18, 20",0.0026266
2020-06-19,42.41,42.65,41.29,41.59,36.71,7914527,7914527,-0.825,-1.93,41.985,"June 19, 20",-0.0193
2020-06-22,41.5,42.21,41.07,41.98,37.06,2648049,2648049,0.48,1.16,41.69,"June 22, 20",0.0116
2020-06-23,42.93,42.93,42.21,42.23,37.28,3017681,3017681,-0.705,-1.63,42.575,"June 23, 20",-0.0163
2020-06-24,41.77,42.25,41.29,41.34,36.5,3490338,3490338,-0.43,-1.03,41.6625,"June 24, 20",-0.0103
2020-06-25,41.33,41.84,40.9,41.67,36.79,3289623,3289623,0.34,0.82265,41.435,"June 25, 20",0.0082265
2020-06-26,41.51,41.78,40.44,40.99,36.19,4439500,4439500,-0.52,-1.25,41.18,"June 26, 20",-0.0125
2020-06-29,41.27,42.21,41.25,41.92,37.01,3870000,3870000,0.65,1.57,41.6625,"June 29, 20",0.0157
2020-06-30,41.7,43.14,41.46,42.84,37.82,4725400,4725400,1.14,2.73,42.285,"June 30, 20",0.0273
2020-07-01,43.02,43.18,42.62,43.01,37.97,4474000,4474000,-0.01,-0.023245,42.9575,"July 01, 20",-0.00023245
2020-07-02,43.68,44.26,43.54,44.04,38.88,5302620,5302620,0.36,0.82418,43.88,"July 02, 20",0.0082418
2020-07-06,44.56,44.79,43.86,44.22,39.04,4759930,4759930,-0.34,-0.76302,44.3575,"July 06, 20",-0.0076302
2020-07-07,44.18,44.65,43.95,44.06,38.9,4744734,4744734,-0.12,-0.27162,44.21,"July 07, 20",-0.0027162
2020-07-08,44.03,44.12,42.57,43.02,37.98,4722033,4722033,-1.01,-2.29,43.435,"July 08, 20",-0.0229
2020-07-09,42.96,43.36,42.66,43.1,38.05,5020411,5020411,0.14,0.32588,43.02,"July 09, 20",0.0032588
2020-07-10,43.02,43.21,42.38,43.03,37.99,3704310,3704310,0.01,0.023245,42.91,"July 10, 20",0.00023245
2020-07-13,43.34,44.28,43.32,43.38,38.3,5117900,5117900,0.04,0.09229349,43.58,"July 13, 20",0.0009229349
2020-07-14,43.86,45.0,42.46,43.4,38.31,7453103,7453103,-0.46,-1.05,43.68,"July 14, 20",-0.0105
2020-07-15,43.62,44.27,42.64,44.02,38.86,5838840,5838840,0.4,0.91701,43.6375,"July 15, 20",0.0091701
2020-07-16,44.0,44.15,43.21,43.5,38.4,3860187,3860187,-0.5,-1.14,43.715,"July 16, 20",-0.0114
2020-07-17,43.62,44.59,43.53,44.2,39.02,4992100,4992100,0.58,1.33,43.985,"July 17, 20",0.0133
2020-07-20,44.13,45.03,44.0,44.84,39.58,2979082,2979082,0.71,1.61,44.5,"July 20, 20",0.0161
2020-07-21,45.11,45.7,45.06,45.54,40.2,5431327,5431327,0.43,0.95323,45.3525,"July 21, 20",0.0095323
2020-07-22,45.65,45.99,45.41,45.84,40.47,3435645,3435645,0.19,0.41621,45.7225,"July 22, 20",0.0041621
2020-07-23,45.95,46.54,45.7,45.77,40.41,4063445,4063445,-0.18,-0.39173,45.99,"July 23, 20",-0.0039173
2020-07-24,45.73,46.16,45.4,45.74,40.38,3401200,3401200,0.01,0.02186748,45.7575,"July 24, 20",0.0002186748
2020-07-27,45.58,46.44,45.58,46.22,41.03,3618604,3618604,0.64,1.4,45.955,"July 27, 20",0.014
2020-07-28,45.91,46.01,45.34,45.37,40.27,2654340,2654340,-0.54,-1.18,45.6575,"July 28, 20",-0.0118
2020-07-29,45.64,46.83,45.45,46.55,41.32,3375420,3375420,0.912,1.99,46.1175,"July 29, 20",0.0199
2020-07-30,45.91,47.02,45.72,46.91,41.64,3262200,3262200,1.0,2.18,46.39,"July 30, 20",0.0218
2020-07-31,47.06,47.07,46.15,47.04,41.76,4398299,4398299,-0.02,-0.04249894,46.83,"July 31, 20",-0.0004249894
2020-08-03,47.37,47.96,47.25,47.46,42.13,3547759,3547759,0.09,0.18999,47.51,"August 03, 20",0.0018999
2020-08-04,47.18,47.59,47.11,47.53,42.19,4427633,4427633,0.35,0.74184,47.3525,"August 04, 20",0.0074184
2020-08-05,47.54,48.21,47.49,48.06,42.66,2156200,2156200,0.515,1.09,47.825,"August 05, 20",0.0109
2020-08-06,47.2,48.02,47.11,47.94,42.55,2772561,2772561,0.745,1.57,47.5675,"August 06, 20",0.0157
2020-08-07,47.89,48.51,47.65,48.45,43.01,2655615,2655615,0.56,1.17,48.125,"August 07, 20",0.0117
2020-08-10,48.42,48.59,47.73,47.93,42.55,2665141,2665141,-0.49,-1.01,48.1675,"August 10, 20",-0.0101
2020-08-11,48.18,48.37,47.26,47.39,42.07,4373637,4373637,-0.79,-1.64,47.8,"August 11, 20",-0.0164
2020-08-12,47.58,48.48,47.51,48.14,42.73,2949904,2949904,0.56,1.18,47.9275,"August 12, 20",0.0118
2020-08-13,48.05,48.38,47.82,48.01,42.62,2262153,2262153,-0.04,-0.08324662,48.065,"August 13, 20",-0.0008324662
2020-08-14,47.76,48.34,47.65,47.99,42.6,2044600,2044600,0.23,0.48157,47.935,"August 14, 20",0.0048157
2020-08-17,48.05,48.48,47.96,48.24,42.82,2258620,2258620,0.19,0.39542,48.1825,"August 17, 20",0.0039542
2020-08-18,48.33,48.55,48.05,48.07,42.67,2514210,2514210,-0.26,-0.53797,48.25,"August 18, 20",-0.0053797
2020-08-19,48.23,48.55,47.89,48.02,42.63,2103606,2103606,-0.21,-0.43541,48.1725,"August 19, 20",-0.0043541
2020-08-20,47.8,48.29,47.65,48.2,42.78,1854200,1854200,0.4,0.83682,47.985,"August 20, 20",0.0083682
2020-08-21,48.22,48.57,47.92,48.54,43.09,1956300,1956300,0.32,0.66363,48.3125,"August 21, 20",0.0066363
2020-08-24,48.72,48.89,47.18,47.88,42.5,2801929,2801929,-0.84,-1.72,48.1675,"August 24, 20",-0.0172
2020-08-25,48.12,48.21,47.6,47.89,42.51,2635398,2635398,-0.23,-0.47797,47.955,"August 25, 20",-0.0047797
2020-08-26,47.87,48.31,47.57,48.09,42.69,2609606,2609606,0.22,0.45958,47.96,"August 26, 20",0.0045958
2020-08-27,48.36,48.71,48.04,48.35,42.92,2531800,2531800,-0.01,-0.02067825,48.365,"August 27, 20",-0.0002067825
2020-08-28,48.53,48.88,48.33,48.84,43.35,2353300,2353300,0.31,0.63878,48.645,"August 28, 20",0.0063878
2020-08-31,48.68,49.08,48.61,48.86,43.37,3111694,3111694,0.18,0.36976,48.8075,"August 31, 20",0.0036976
2020-09-01,48.86,49.53,48.45,49.49,43.93,2951759,2951759,0.63,1.29,49.0825,"September 01, 20",0.0129
2020-09-02,49.57,49.86,49.27,49.67,44.09,4811227,4811227,0.1,0.20173,49.5925,"September 02, 20",0.0020173
2020-09-03,48.94,49.12,46.51,47.02,41.74,5376200,5376200,-1.92,-3.92,47.8975,"September 03, 20",-0.0392
2020-09-04,47.55,47.55,45.51,46.27,41.07,5448900,5448900,-1.28,-2.69,46.72,"September 04, 20",-0.0269
2020-09-08,44.82,45.25,43.64,43.71,38.8,7212013,7212013,-1.11,-2.48,44.355,"September 08, 20",-0.0248
2020-09-09,44.32,45.65,44.29,45.23,40.15,4428930,4428930,0.91,2.05,44.8725,"September 09, 20",0.0205
